,EstNumber,EstID,Parent Corporation,Establishment Name,State,Size,Animals Processed,"Processed
Volume
Category","Slaughter
Volume
Category",Full Address,latitude,longitude,Sales Volume (Location)
71,P1317 + V1317,4495,Cargill,Wayne Farms LLC,Alabama,Large,Chicken,5.0,5.0,"700 McDonald Avenue, Albertville, AL 35950",34.2607264,-86.203222,438268.0
72,P7485 + V7485,4518,Cargill,Wayne Farms LLC,Alabama,Large,Chicken,5.0,5.0,"1020 County Road 114, Jack, AL 36346",31.5006282,-85.9034382,576660.0
73,P912,4493,Cargill,"Wayne Farms, LLC",Alabama,Large,Chicken,5.0,5.0,"444 Baskin Street  South, Union Springs, AL 36089",32.1391657,-85.721704,271713.0
74,P7342 + V7342,4516,Cargill,Wayne Farms LLC,Alabama,Large,Chicken,5.0,5.0,"808 Ross Clark Circle NE, Dothan, AL 36303",31.2257543,-85.3620677,
75,P1235,4509,Cargill,Wayne Farms LLC,Alabama,Large,Chicken,5.0,5.0,"254 Ipsco Road, Decatur, AL 35601",34.6076012,-87.04259549999999,
76,P17500,4526,JBS,Pilgrim's Pride Corporation,Alabama,Large,Chicken,5.0,5.0,"2045 Highway 244, Russellville, AL 35654",34.5078726,-87.7286431,150.0
77,P192,4501,JBS,Pilgrim's Pride Corporation,Alabama,Large,Chicken,5.0,5.0,"3500 Lake Guntersville Park Drive, Guntersville, AL 35976",34.3465877,-86.2821926,249109.0
78,P6638,4514,JBS,Pilgrim's Pride Corporation,Alabama,Large,Chicken,5.0,5.0,"4693 County Road 636, Enterprise, AL 36330",31.2555161,-85.9595721,471813.0
79,P6666,4515,Koch Foods,"Koch Foods of Gadsden, LLC",Alabama,Large,Chicken,5.0,5.0,"501 Paden Road, Gadsden, AL 35903",33.970439,-85.9724391,
80,P548,4506,Koch Foods,"JCG  Foods of Alabama, LLC",Alabama,Large,Chicken,5.0,5.0,"764 George Cagle Drive, Collinsville, AL 35961",34.2944769,-85.8814033,144992.0
81,P6529,4595,Koch Foods,"Koch Foods of  Montgomery, AL",Alabama,Large,Chicken,5.0,5.0,"3500 West Blvd., Montgomery, AL 36108",32.3284278,-86.3547844,
82,P1307,4567,Mar-Jac,Mar-Jac Poultry-AL,Alabama,Large,Chicken,5.0,5.0,"3301 3rd Avenue, Jasper, AL 35501",33.8180823,-87.2760356,83015.0
83,P6504,4496,Peco Foods,"Peco Foods, Inc.",Alabama,Large,Chicken,5.0,5.0,"3701 Reese Phifer Avenue, Tuscaloosa, AL 35401",33.1778663,-87.56144660000001,
84,M20322 + P20322,4783,Tyson,"Keystone Foods, LLC.",Alabama,Large,Chicken,5.0,5.0,"57 Melvin Clark Road, Baker Hill, AL 36027",31.8063853,-85.31985,14829.0
85,P559,4491,Tyson,"Tyson Foods, Inc.",Alabama,Large,Chicken,5.0,5.0,"6600 Hwy. 431 South, Albertville, AL 35950",34.2512489,-86.2361744,16436.0
86,M17250 + P6 + V6,4485,Tyson,"Tyson Foods, Inc.",Alabama,Large,Chicken,5.0,5.0,"67240 Main Street, Blountsville, AL 35031",34.0520968,-86.57541859999999,96468.0
87,P165S + V165S,3850,Bachoco,"OK Foods, Inc.",Arkansas,Large,Chicken,5.0,5.0,"3921 Reed Lane, Fort Smith, AR 72904",35.424274,-94.3852974,16680.0
88,P1009,3858,Cargill,Wayne Farms LLC,Arkansas,Large,Chicken,5.0,5.0,"2301 East 8th Street, Danville, AR 72833",35.081411,-93.41853,2732.0
90,P46091,126027,George's,"Ozark Mountain Poultry, Inc.",Arkansas,Large,Chicken,5.0,5.0,"1810 St. Louis Street, Batesville, AR 72501",35.7652697,-91.641319,
91,P208 + V208,3851,George's,"George's Processing, Inc.",Arkansas,Large,Chicken,5.0,5.0,"1306 North Kansas St, Springdale, AR 72764",36.198322,-94.1398959,0.0
92,P705,3856,JBS,Pilgrim's Pride Corporation,Arkansas,Large,Chicken,5.0,5.0,"401 South 3rd Street, DeQueen, AR 71832",34.0336675,-94.3401007,225824.0
93,P45483,127044,Peco Foods,"Peco Foods, Inc.",Arkansas,Large,Chicken,4.0,5.0,"4114 Highway 67 South, Pocahontas, AR 72455",36.2137042,-90.9583373,
94,P468,3852,Peco Foods,"Peco Foods, Inc.",Arkansas,Large,Chicken,5.0,5.0,"625 South Allen, Batesville, AR 72501",35.7645792,-91.6484427,675250.0
95,P1949,6164265,Simmons Foods,"Simmons Prepared Foods, Inc.",Arkansas,Large,Chicken,5.0,5.0,"9802 S. Hwy 59, Gentry, AR 72734",36.1795582,-94.6412028,
98,P72,3846,Tyson,"Tyson Foods, Inc",Arkansas,Large,Chicken,5.0,5.0,"1291 N Hwy. 7, Dardanelle, AR 72834",35.216772,-93.1602106,504317.0
99,P7101,3881,Tyson,"Tyson Foods, Inc.",Arkansas,Large,Chicken,5.0,5.0,"301 East Cherry Street, Clarksville, AR 72830",35.473009,-93.457503,
100,M112 + P112,3847,Tyson,"Tyson Foods, Inc",Arkansas,Large,Chicken,5.0,5.0,"601 Tyson Drive, Green Forest, AR 72638",36.3309124,-93.4293292,1619035.0
101,P7156 + V7156,3883,Tyson,"Tyson Foods, Inc.",Arkansas,Large,Chicken,5.0,5.0,"275 County Road 278, Hope, AR 71801",33.7400849,-93.616054,223444.0
102,M13456 + P13456 + V13456,3901,Tyson,"Tyson Foods, Inc.",Arkansas,Large,Chicken,5.0,5.0,"5505 Jefferson Parkway, Pine Bluff, AR 71602",34.2642476,-92.0757124,256978.0
